Tag;Monat;Jahr;Sonnenaufgang;Sonnenuntergang;Mondaufgang;Monduntergang
1;Jänner;2020;07:46;16:10;11:26;22:39
2;Jänner;2020;07:45;16:11;11:46;23:43
3;Jänner;2020;07:45;16:12;12:04;
4;Jänner;2020;07:45;16:13;12:24;00:46
5;Jänner;2020;07:45;16:14;12:45;01:51
6;Jänner;2020;07:45;16:16;13:09;02:57
7;Jänner;2020;07:45;16:17;13:39;04:05
8;Jänner;2020;07:44;16:18;14:15;05:15
9;Jänner;2020;07:44;16:19;15:01;06:22
10;Jänner;2020;07:44;16:20;15:59;07:26
11;Jänner;2020;07:43;16:22;17:07;08:20
12;Jänner;2020;07:43;16:23;18:23;09:05
13;Jänner;2020;07:42;16:24;19:43;09:42
14;Jänner;2020;07:42;16:26;21:03;10:13
15;Jänner;2020;07:41;16:27;22:21;10:39
16;Jänner;2020;07:40;16:28;23:39;11:03
17;Jänner;2020;07:40;16:30;;11:27
18;Jänner;2020;07:39;16:31;00:55;11:52
19;Jänner;2020;07:38;16:33;02:10;12:18
20;Jänner;2020;07:37;16:34;03:25;12:50
21;Jänner;2020;07:36;16:36;04:36;13:29
22;Jänner;2020;07:35;16:37;05:42;14:14
23;Jänner;2020;07:34;16:39;06:40;15:07
24;Jänner;2020;07:33;16:40;07:29;16:07
25;Jänner;2020;07:32;16:42;08:08;17:11
26;Jänner;2020;07:31;16:43;08:40;18:16
27;Jänner;2020;07:30;16:45;09:07;19:22
28;Jänner;2020;07:29;16:46;09:29;20:26
29;Jänner;2020;07:28;16:48;09:50;21:30
30;Jänner;2020;07:26;16:50;10:08;22:32
31;Jänner;2020;07:25;16:51;10:27;23:36
1;Februar;2020;07:24;16:53;10:47;
2;Februar;2020;07:23;16:54;11:10;00:40
3;Februar;2020;07:21;16:56;11:36;01:47
4;Februar;2020;07:20;16:58;12:08;02:54
5;Februar;2020;07:18;16:59;12:48;04:02
6;Februar;2020;07:17;17:01;13:40;05:07
7;Februar;2020;07:15;17:03;14:43;06:05
8;Februar;2020;07:14;17:04;15:56;06:55
9;Februar;2020;07:12;17:06;17:17;07:37
10;Februar;2020;07:11;17:08;18:39;08:11
11;Februar;2020;07:09;17:09;20:02;08:39
12;Februar;2020;07:08;17:11;21:23;09:05
13;Februar;2020;07:06;17:12;22:42;09:30
14;Februar;2020;07:04;17:14;;09:55
15;Februar;2020;07:03;17:16;00:00;10:21
16;Februar;2020;07:01;17:17;01:16;10:52
17;Februar;2020;06:59;17:19;02:29;11:28
18;Februar;2020;06:57;17:21;03:36;12:11
19;Februar;2020;06:56;17:22;04:36;13:01
20;Februar;2020;06:54;17:24;05:27;13:59
21;Februar;2020;06:52;17:25;06:08;15:01
22;Februar;2020;06:50;17:27;06:42;16:06
23;Februar;2020;06:48;17:29;07:10;17:11
24;Februar;2020;06:46;17:30;07:33;18:15
25;Februar;2020;06:45;17:32;07:54;19:20
26;Februar;2020;06:43;17:33;08:13;20:22
27;Februar;2020;06:41;17:35;08:32;21:26
28;Februar;2020;06:39;17:36;08:51;22:29
29;Februar;2020;06:37;17:38;09:12;23:34
1;März;2020;06:35;17:39;09:36;
2;März;2020;06:33;17:41;10:04;00:40
3;März;2020;06:31;17:43;10:40;01:46
4;März;2020;06:29;17:44;11:25;02:50
5;März;2020;06:27;17:46;12:20;03:51
6;März;2020;06:25;17:47;13:28;04:43
7;März;2020;06:23;17:49;14:44;05:28
8;März;2020;06:21;17:50;16:06;06:05
9;März;2020;06:19;17:52;17:31;06:36
10;März;2020;06:17;17:53;18:54;07:04
11;März;2020;06:15;17:55;20:17;07:29
12;März;2020;06:13;17:56;21:40;07:55
13;März;2020;06:11;17:57;23:00;08:21
14;März;2020;06:09;17:59;;08:51
15;März;2020;06:07;18:00;00:17;09:26
16;März;2020;06:05;18:02;01:29;10:07
17;März;2020;06:03;18:03;02:32;10:56
18;März;2020;06:01;18:05;03:26;11:52
19;März;2020;05:59;18:06;04:10;12:53
20;März;2020;05:57;18:08;04:45;13:57
21;März;2020;05:55;18:09;05:15;15:02
22;März;2020;05:53;18:11;05:39;16:07
23;März;2020;05:51;18:12;06:00;17:11
24;März;2020;05:49;18:13;06:19;18:14
25;März;2020;05:47;18:15;06:37;19:18
26;März;2020;05:45;18:16;06:56;20:21
27;März;2020;05:43;18:18;07:17;21:26
28;März;2020;05:41;18:19;07:39;22:31
29;März;2020;06:38;19:21;09:05;
30;März;2020;06:36;19:23;09:37;00:37
31;März;2020;06:34;19:24;10:17;01:41
1;April;2020;06:32;19:26;11:07;02:41
2;April;2020;06:30;19:27;12:08;03:36
3;April;2020;06:28;19:29;13:18;04:22
4;April;2020;06:26;19:30;14:36;05:01
5;April;2020;06:24;19:31;15:58;05:34
6;April;2020;06:22;19:33;17:21;06:02
7;April;2020;06:20;19:34;18:45;06:27
8;April;2020;06:18;19:36;20:09;06:52
9;April;2020;06:16;19:37;21:33;07:18
10;April;2020;06:14;19:39;22:55;07:47
11;April;2020;06:12;19:40;;08:20
12;April;2020;06:10;19:42;00:12;09:00
13;April;2020;06:08;19:43;01:22;09:47
14;April;2020;06:06;19:44;02:22;10:42
15;April;2020;06:04;19:46;03:10;11:44
16;April;2020;06:02;19:47;03:49;12:48
17;April;2020;06:00;19:49;04:19;13:53
18;April;2020;05:59;19:50;04:45;14:58
19;April;2020;05:57;19:52;05:07;16:02
20;April;2020;05:55;19:53;05:26;17:06
21;April;2020;05:53;19:54;05:45;18:09
22;April;2020;05:51;19:56;06:03;19:14
23;April;2020;05:49;19:57;06:22;20:18
24;April;2020;05:48;19:59;06:43;21:24
25;April;2020;05:46;20:00;07:08;22:30
26;April;2020;05:44;20:02;07:38;23:36
27;April;2020;05:42;20:03;08:15;
28;April;2020;05:41;20:04;09:01;00:37
29;April;2020;05:39;20:06;09:57;01:33
30;April;2020;05:37;20:07;11:03;02:20
1;Mai;2020;05:36;20:09;12:16;03:01
2;Mai;2020;05:34;20:10;13:34;03:34
3;Mai;2020;05:32;20:11;14:53;04:02
4;Mai;2020;05:31;20:13;16:15;04:28
5;Mai;2020;05:29;20:14;17:37;04:52
6;Mai;2020;05:28;20:16;19:01;05:16
7;Mai;2020;05:26;20:17;20:24;05:43
8;Mai;2020;05:25;20:18;21:46;06:13
9;Mai;2020;05:23;20:20;23:02;06:50
10;Mai;2020;05:22;20:21;;07:35
11;Mai;2020;05:20;20:22;00:09;08:28
12;Mai;2020;05:19;20:24;01:04;09:29
13;Mai;2020;05:18;20:25;01:48;10:33
14;Mai;2020;05:16;20:26;02:22;11:41
15;Mai;2020;05:15;20:28;02:50;12:47
16;Mai;2020;05:14;20:29;03:13;13:52
17;Mai;2020;05:12;20:30;03:33;14:56
18;Mai;2020;05:11;20:31;03:51;16:00
19;Mai;2020;05:10;20:33;04:09;17:03
20;Mai;2020;05:09;20:34;04:28;18:08
21;Mai;2020;05:08;20:35;04:48;19:14
22;Mai;2020;05:07;20:36;05:12;20:20
23;Mai;2020;05:06;20:38;05:40;21:28
24;Mai;2020;05:05;20:39;06:14;22:31
25;Mai;2020;05:04;20:40;06:58;23:30
26;Mai;2020;05:03;20:41;07:51;
27;Mai;2020;05:02;20:42;08:54;00:21
28;Mai;2020;05:01;20:43;10:05;01:03
29;Mai;2020;05:00;20:44;11:20;01:38
30;Mai;2020;05:00;20:45;12:37;02:07
31;Mai;2020;04:59;20:46;13:55;02:32
1;Juni;2020;04:58;20:47;15:15;02:55
2;Juni;2020;04:58;20:48;16:35;03:18
3;Juni;2020;04:57;20:49;17:56;03:43
4;Juni;2020;04:56;20:50;19:18;04:10
5;Juni;2020;04:56;20:51;20:37;04:42
6;Juni;2020;04:55;20:51;21:50;05:23
7;Juni;2020;04:55;20:52;22:52;06:12
8;Juni;2020;04:55;20:53;23:42;07:10
9;Juni;2020;04:54;20:54;;08:15
10;Juni;2020;04:54;20:54;00:21;09:23
11;Juni;2020;04:54;20:55;00:52;10:31
12;Juni;2020;04:54;20:55;01:17;11:38
13;Juni;2020;04:54;20:56;01:38;12:43
14;Juni;2020;04:53;20:57;01:57;13:47
15;Juni;2020;04:53;20:57;02:15;14:51
16;Juni;2020;04:53;20:57;02:33;15:55
17;Juni;2020;04:53;20:58;02:53;17:00
18;Juni;2020;04:53;20:58;03:15;18:07
19;Juni;2020;04:54;20:58;03:41;19:15
20;Juni;2020;04:54;20:59;04:13;20:20
21;Juni;2020;04:54;20:59;04:53;21:23
22;Juni;2020;04:54;20:59;05:44;22:17
23;Juni;2020;04:54;20:59;06:45;23:03
24;Juni;2020;04:55;20:59;07:55;23:41
25;Juni;2020;04:55;20:59;09:10;
26;Juni;2020;04:56;20:59;10:26;00:11
27;Juni;2020;04:56;20:59;11:44;00:37
28;Juni;2020;04:57;20:59;13:02;01:01
29;Juni;2020;04:57;20:59;14:19;01:23
30;Juni;2020;04:58;20:59;15:38;01:46
1;Juli;2020;04:58;20:58;16:57;02:11
2;Juli;2020;04:59;20:58;18:16;02:40
3;Juli;2020;05:00;20:58;19:31;03:17
4;Juli;2020;05:00;20:57;20:37;04:01
5;Juli;2020;05:01;20:57;21:33;04:55
6;Juli;2020;05:02;20:56;22:16;05:57
7;Juli;2020;05:03;20:56;22:51;07:04
8;Juli;2020;05:04;20:55;23:19;08:13
9;Juli;2020;05:04;20:55;23:42;09:22
10;Juli;2020;05:05;20:54;;10:28
11;Juli;2020;05:06;20:53;00:01;11:34
12;Juli;2020;05:07;20:53;00:20;12:37
13;Juli;2020;05:08;20:52;00:38;13:42
14;Juli;2020;05:09;20:51;00:57;14:46
15;Juli;2020;05:10;20:50;01:17;15:52
16;Juli;2020;05:11;20:49;01:41;16:58
17;Juli;2020;05:12;20:48;02:10;18:05
18;Juli;2020;05:14;20:47;02:47;19:10
19;Juli;2020;05:15;20:46;03:34;20:08
20;Juli;2020;05:16;20:45;04:31;20:58
21;Juli;2020;05:17;20:44;05:39;21:40
22;Juli;2020;05:18;20:43;06:54;22:13
23;Juli;2020;05:19;20:42;08:13;22:41
24;Juli;2020;05:21;20:41;09:32;23:06
25;Juli;2020;05:22;20:40;10:51;23:29
26;Juli;2020;05:23;20:38;12:09;23:51
27;Juli;2020;05:24;20:37;13:28;
28;Juli;2020;05:26;20:36;14:45;00:15
29;Juli;2020;05:27;20:34;16:03;00:43
30;Juli;2020;05:28;20:33;17:18;01:16
31;Juli;2020;05:29;20:32;18:25;01:56
1;August;2020;05:31;20:30;19:24;02:45
2;August;2020;05:32;20:29;20:12;03:43
3;August;2020;05:33;20:27;20:49;04:48
4;August;2020;05:35;20:26;21:20;05:57
5;August;2020;05:36;20:24;21:44;07:06
6;August;2020;05:37;20:23;22:05;08:14
7;August;2020;05:39;20:21;22:24;09:20
8;August;2020;05:40;20:19;22:42;10:24
9;August;2020;05:41;20:18;23:00;11:29
10;August;2020;05:43;20:16;23:20;12:32
11;August;2020;05:44;20:14;23:42;13:37
12;August;2020;05:45;20:13;;14:43
13;August;2020;05:47;20:11;00:08;15:49
14;August;2020;05:48;20:09;00:41;16:54
15;August;2020;05:49;20:08;01:23;17:55
16;August;2020;05:51;20:06;02:14;18:48
17;August;2020;05:52;20:04;03:18;19:34
18;August;2020;05:53;20:02;04:31;20:11
19;August;2020;05:55;20:00;05:50;20:41
20;August;2020;05:56;19:59;07:12;21:08
21;August;2020;05:58;19:57;08:33;21:32
22;August;2020;05:59;19:55;09:54;21:55
23;August;2020;06:00;19:53;11:15;22:19
24;August;2020;06:02;19:51;12:35;22:45
25;August;2020;06:03;19:49;13:54;23:17
26;August;2020;06:04;19:47;15:10;23:54
27;August;2020;06:06;19:45;16:19;
28;August;2020;06:07;19:43;17:20;00:40
29;August;2020;06:08;19:41;18:10;01:35
30;August;2020;06:10;19:39;18:50;02:37
31;August;2020;06:11;19:38;19:22;03:45
1;September;2020;06:12;19:35;19:48;04:53
2;September;2020;06:14;19:33;20:09;06:01
3;September;2020;06:15;19:31;20:28;07:08
4;September;2020;06:17;19:29;20:47;08:13
5;September;2020;06:18;19:27;21:05;09:17
6;September;2020;06:19;19:25;21:23;10:21
7;September;2020;06:21;19:23;21:44;11:26
8;September;2020;06:22;19:21;22:08;12:30
9;September;2020;06:23;19:19;22:37;13:36
10;September;2020;06:25;19:17;23:14;14:40
11;September;2020;06:26;19:15;;15:42
12;September;2020;06:27;19:13;00:00;16:37
13;September;2020;06:29;19:11;00:58;17:26
14;September;2020;06:30;19:09;02:05;18:06
15;September;2020;06:32;19:06;03:22;18:39
16;September;2020;06:33;19:04;04:42;19:07
17;September;2020;06:34;19:02;06:05;19:32
18;September;2020;06:36;19:00;07:29;19:56
19;September;2020;06:37;18:58;08:52;20:19
20;September;2020;06:39;18:56;10:15;20:46
21;September;2020;06:40;18:54;11:38;21:16
22;September;2020;06:41;18:52;12:58;21:52
23;September;2020;06:43;18:50;14:12;22:36
24;September;2020;06:44;18:47;15:17;23:29
25;September;2020;06:46;18:45;16:10;
26;September;2020;06:47;18:43;16:53;00:29
27;September;2020;06:48;18:41;17:26;01:36
28;September;2020;06:50;18:39;17:53;02:43
29;September;2020;06:51;18:37;18:15;03:51
30;September;2020;06:53;18:35;18:35;04:58
1;Oktober;2020;06:54;18:33;18:53;06:03
2;Oktober;2020;06:56;18:31;19:10;07:08
3;Oktober;2020;06:57;18:29;19:29;08:12
4;Oktober;2020;06:58;18:27;19:48;09:16
5;Oktober;2020;07:00;18:25;20:10;10:21
6;Oktober;2020;07:01;18:23;20:37;11:26
7;Oktober;2020;07:03;18:21;21:10;12:31
8;Oktober;2020;07:04;18:19;21:52;13:33
9;Oktober;2020;07:06;18:17;22:43;14:30
10;Oktober;2020;07:07;18:15;23:45;15:20
11;Oktober;2020;07:09;18:13;;16:02
12;Oktober;2020;07:10;18:11;00:56;16:36
13;Oktober;2020;07:12;18:09;02:13;17:06
14;Oktober;2020;07:13;18:07;03:34;17:32
15;Oktober;2020;07:15;18:05;04:56;17:55
16;Oktober;2020;07:16;18:03;06:20;18:18
17;Oktober;2020;07:18;18:01;07:45;18:43
18;Oktober;2020;07:19;17:59;09:11;19:12
19;Oktober;2020;07:21;17:58;10:35;19:46
20;Oktober;2020;07:22;17:56;11:56;20:27
21;Oktober;2020;07:24;17:54;13:07;21:19
22;Oktober;2020;07:25;17:52;14:07;22:19
23;Oktober;2020;07:27;17:50;14:54;23:25
24;Oktober;2020;07:28;17:49;15:31;
25;Oktober;2020;06:29;16:47;14:59;
26;Oktober;2020;06:31;16:45;15:22;00:42
27;Oktober;2020;06:32;16:43;15:42;01:49
28;Oktober;2020;06:34;16:41;16:00;02:54
29;Oktober;2020;06:36;16:40;16:17;03:59
30;Oktober;2020;06:37;16:38;16:35;05:03
31;Oktober;2020;06:39;16:37;16:53;06:07
1;November;2020;06:40;16:35;17:15;07:13
2;November;2020;06:42;16:33;17:40;08:18
3;November;2020;06:43;16:32;18:10;09:24
4;November;2020;06:45;16:30;18:49;10:27
5;November;2020;06:46;16:29;19:36;11:26
6;November;2020;06:48;16:27;20:33;12:17
7;November;2020;06:50;16:26;21:40;13:01
8;November;2020;06:51;16:24;22:52;13:37
9;November;2020;06:53;16:23;;14:07
10;November;2020;06:54;16:22;00:08;14:32
11;November;2020;06:56;16:20;01:28;14:56
12;November;2020;06:57;16:19;02:48;15:18
13;November;2020;06:59;16:18;04:11;15:42
14;November;2020;07:01;16:17;05:36;16:07
15;November;2020;07:02;16:16;07:02;16:38
16;November;2020;07:04;16:15;08:26;17:16
17;November;2020;07:05;16:13;09:46;18:04
18;November;2020;07:07;16:12;10:54;19:02
19;November;2020;07:08;16:11;11:49;20:08
20;November;2020;07:10;16:10;12:30;21:19
21;November;2020;07:11;16:09;13:03;22:29
22;November;2020;07:12;16:09;13:28;23:38
23;November;2020;07:14;16:08;13:49;
24;November;2020;07:15;16:07;14:07;00:44
25;November;2020;07:17;16:06;14:24;01:50
26;November;2020;07:18;16:05;14:41;02:54
27;November;2020;07:19;16:05;15:00;03:58
28;November;2020;07:21;16:04;15:20;05:03
29;November;2020;07:22;16:04;15:43;06:08
30;November;2020;07:23;16:03;16:12;07:15
1;Dezember;2020;07:25;16:03;16:48;08:19
2;Dezember;2020;07:26;16:02;17:33;09:21
3;Dezember;2020;07:27;16:02;18:27;10:15
4;Dezember;2020;07:28;16:01;19:31;11:02
5;Dezember;2020;07:29;16:01;20:41;11:40
6;Dezember;2020;07:31;16:01;21:55;12:11
7;Dezember;2020;07:32;16:01;23:11;12:37
8;Dezember;2020;07:33;16:01;;13:00
9;Dezember;2020;07:34;16:00;00:27;13:22
10;Dezember;2020;07:35;16:00;01:46;13:43
11;Dezember;2020;07:36;16:00;03:07;14:06
12;Dezember;2020;07:37;16:00;04:29;14:33
13;Dezember;2020;07:37;16:00;05:54;15:07
14;Dezember;2020;07:38;16:01;07:16;15:49
15;Dezember;2020;07:39;16:01;08:31;16:42
16;Dezember;2020;07:40;16:01;09:34;17:46
17;Dezember;2020;07:40;16:01;10:23;18:56
18;Dezember;2020;07:41;16:02;11:01;20:09
19;Dezember;2020;07:42;16:02;11:30;21:21
20;Dezember;2020;07:42;16:02;11:53;22:30
21;Dezember;2020;07:43;16:03;12:13;23:37
22;Dezember;2020;07:43;16:03;12:30;
23;Dezember;2020;07:44;16:04;12:47;00:42
24;Dezember;2020;07:44;16:05;13:05;01:46
25;Dezember;2020;07:44;16:05;13:24;02:50
26;Dezember;2020;07:45;16:06;13:46;03:56
27;Dezember;2020;07:45;16:07;14:13;05:02
28;Dezember;2020;07:45;16:08;14:46;06:08
29;Dezember;2020;07:45;16:08;15:28;07:12
30;Dezember;2020;07:45;16:09;16:19;08:09
31;Dezember;2020;07:45;16:10;17:22;08:59
